1650985518.103301, 	 reno wscale:8,9 rto:384 rtt:183.246/14.032 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:325 bytes_sent:925272 bytes_acked:456121 segs_out:641 segs_in:121 data_segs_out:639 send 20.5Mbps lastsnd:4 lastrcv:436 lastack:4 pacing_rate 41.1Mbps delivery_rate 9.5Mbps delivered:316 busy:432ms unacked:324 rcv_space:14480 rcv_ssthresh:42242 notsent:1794072 minrtt:21.784
1650985518.123301, 	 reno wscale:8,9 rto:396 rtt:194.68/15.232 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:343 bytes_sent:977400 bytes_acked:482185 segs_out:677 segs_in:127 data_segs_out:675 send 20.4Mbps lastrcv:456 pacing_rate 40.8Mbps delivery_rate 9.5Mbps delivered:334 busy:452ms unacked:342 rcv_space:14480 rcv_ssthresh:42242 notsent:1741944 minrtt:21.784
1650985518.146239, 	 reno wscale:8,9 rto:408 rtt:206.201/15.341 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:361 bytes_sent:1029528 bytes_acked:508249 segs_out:713 segs_in:133 data_segs_out:711 send 20.3Mbps lastsnd:4 lastrcv:480 lastack:4 pacing_rate 40.6Mbps delivery_rate 9.5Mbps delivered:352 busy:476ms unacked:360 rcv_space:14480 rcv_ssthresh:42242 notsent:1689816 minrtt:21.784
1650985518.165292, 	 reno wscale:8,9 rto:420 rtt:216.331/15.846 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:376 bytes_sent:1072968 bytes_acked:529969 segs_out:743 segs_in:138 data_segs_out:741 send 20.1Mbps lastsnd:4 lastrcv:500 lastack:4 pacing_rate 40.3Mbps delivery_rate 9.4Mbps delivered:367 busy:496ms unacked:375 rcv_space:14480 rcv_ssthresh:42242 notsent:1646376 minrtt:21.784
1650985518.185648, 	 reno wscale:8,9 rto:428 rtt:225.325/14.322 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:389 bytes_sent:1112064 bytes_acked:548793 segs_out:770 segs_in:143 data_segs_out:768 send 20.0Mbps lastsnd:4 lastrcv:516 lastack:4 pacing_rate 40.0Mbps delivery_rate 9.5Mbps delivered:380 busy:512ms unacked:389 rcv_space:14480 rcv_ssthresh:42242 notsent:1607280 minrtt:21.784
1650985518.203285, 	 reno wscale:8,9 rto:436 rtt:232.597/14.51 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:401 bytes_sent:1146816 bytes_acked:566169 segs_out:794 segs_in:147 data_segs_out:792 send 20.0Mbps lastsnd:4 lastrcv:532 lastack:4 pacing_rate 39.9Mbps delivery_rate 9.4Mbps delivered:392 busy:528ms unacked:401 rcv_space:14480 rcv_ssthresh:42242 notsent:1572528 minrtt:21.784
1650985518.221287, 	 reno wscale:8,9 rto:448 rtt:244.523/15.838 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:418 bytes_sent:1196048 bytes_acked:590785 segs_out:828 segs_in:153 data_segs_out:826 send 19.8Mbps lastsnd:4 lastrcv:556 lastack:4 pacing_rate 39.6Mbps delivery_rate 9.3Mbps delivered:409 busy:552ms unacked:418 rcv_space:14480 rcv_ssthresh:42242 notsent:2696176 minrtt:21.784
1650985518.247320, 	 reno wscale:8,9 rto:456 rtt:254.306/15.664 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:433 bytes_sent:1238040 bytes_acked:612505 segs_out:857 segs_in:158 data_segs_out:855 send 19.7Mbps lastsnd:4 lastrcv:576 lastack:4 pacing_rate 39.4Mbps delivery_rate 9.3Mbps delivered:424 busy:572ms unacked:432 rcv_space:14480 rcv_ssthresh:42242 notsent:2654184 minrtt:21.784
1650985518.265002, 	 reno wscale:8,9 rto:468 rtt:265.922/15.429 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:451 bytes_sent:1290168 bytes_acked:638569 segs_out:893 segs_in:164 data_segs_out:891 send 19.6Mbps lastrcv:596 pacing_rate 39.3Mbps delivery_rate 9.3Mbps delivered:442 busy:592ms unacked:450 rcv_space:14480 rcv_ssthresh:42242 notsent:2602056 minrtt:21.784
1650985518.282677, 	 reno wscale:8,9 rto:476 rtt:274.994/14.738 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:466 bytes_sent:1333608 bytes_acked:660289 segs_out:923 segs_in:169 data_segs_out:921 send 19.6Mbps lastsnd:4 lastrcv:616 lastack:4 pacing_rate 39.3Mbps delivery_rate 9.3Mbps delivered:457 busy:612ms unacked:465 rcv_space:14480 rcv_ssthresh:42242 notsent:2558616 minrtt:21.784
1650985518.302894, 	 reno wscale:8,9 rto:488 rtt:286.231/14.754 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:484 bytes_sent:1385736 bytes_acked:686353 segs_out:959 segs_in:175 data_segs_out:957 send 19.6Mbps lastsnd:4 lastrcv:636 lastack:4 pacing_rate 39.2Mbps delivery_rate 9.3Mbps delivered:475 busy:632ms unacked:483 rcv_space:14480 rcv_ssthresh:42242 notsent:2506488 minrtt:21.784
1650985518.324126, 	 reno wscale:8,9 rto:500 rtt:297.2/17.173 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:499 bytes_sent:1429176 bytes_acked:708073 segs_out:989 segs_in:180 data_segs_out:987 send 19.4Mbps lastsnd:4 lastrcv:660 lastack:4 pacing_rate 38.9Mbps delivery_rate 9.2Mbps delivered:490 busy:656ms unacked:498 rcv_space:14480 rcv_ssthresh:42242 notsent:2463048 minrtt:21.784
1650985518.347592, 	 reno wscale:8,9 rto:516 rtt:313.958/18.638 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:520 bytes_sent:1489992 bytes_acked:738481 segs_out:1031 segs_in:187 data_segs_out:1029 send 19.2Mbps lastsnd:4 lastrcv:688 lastack:4 pacing_rate 38.4Mbps delivery_rate 9.1Mbps delivered:511 busy:684ms unacked:519 rcv_space:14480 rcv_ssthresh:42242 notsent:2402232 minrtt:21.784
1650985518.381939, 	 reno wscale:8,9 rto:528 rtt:327.959/16.215 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:541 bytes_sent:1550808 bytes_acked:768889 segs_out:1073 segs_in:194 data_segs_out:1071 send 19.1Mbps lastrcv:712 pacing_rate 38.2Mbps delivery_rate 9.1Mbps delivered:532 busy:708ms unacked:540 rcv_space:14480 rcv_ssthresh:42242 notsent:2341416 minrtt:21.784
1650985518.401589, 	 reno wscale:8,9 rto:544 rtt:340.975/17.311 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:559 bytes_sent:1602936 bytes_acked:794953 segs_out:1109 segs_in:200 data_segs_out:1107 send 19.0Mbps lastrcv:736 pacing_rate 38.0Mbps delivery_rate 9.1Mbps delivered:550 busy:732ms unacked:558 rcv_space:14480 rcv_ssthresh:42242 notsent:2289288 minrtt:21.784
1650985518.422292, 	 reno wscale:8,9 rto:552 rtt:351.737/14.853 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:575 bytes_sent:1650720 bytes_acked:818121 segs_out:1142 segs_in:206 data_segs_out:1140 send 18.9Mbps lastsnd:4 lastrcv:756 lastack:4 pacing_rate 37.9Mbps delivery_rate 9.1Mbps delivered:566 busy:752ms unacked:575 rcv_space:14480 rcv_ssthresh:42242 notsent:2241504 minrtt:21.784
1650985518.443584, 	 reno wscale:8,9 rto:568 rtt:364.267/17.303 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:586 bytes_sent:1699952 bytes_acked:842737 segs_out:1176 segs_in:212 data_segs_out:1174 send 18.6Mbps lastsnd:4 lastrcv:784 lastack:4 pacing_rate 37.8Mbps delivery_rate 9.0Mbps delivered:583 busy:780ms unacked:592 rcv_space:14480 rcv_ssthresh:42242 notsent:3674000 minrtt:21.784
1650985518.472172, 	 reno wscale:8,9 rto:580 rtt:376.407/15.874 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:610 bytes_sent:1757872 bytes_retrans:2896 bytes_acked:873145 segs_out:1217 segs_in:219 data_segs_out:1214 send 18.8Mbps lastsnd:4 lastrcv:804 lastack:4 pacing_rate 37.5Mbps delivery_rate 9.1Mbps delivered:604 busy:800ms unacked:609 retrans:0/2 reordering:6 reord_seen:2 rcv_space:14480 rcv_ssthresh:42242 notsent:3896568 minrtt:21.784
1650985518.490636, 	 reno wscale:8,9 rto:596 rtt:392.861/19.136 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:631 bytes_sent:1818688 bytes_retrans:2896 bytes_acked:903553 segs_out:1259 segs_in:226 data_segs_out:1256 send 18.6Mbps lastrcv:836 pacing_rate 37.2Mbps delivery_rate 8.9Mbps delivered:625 busy:832ms unacked:630 retrans:0/2 reordering:6 reord_seen:2 rcv_space:14480 rcv_ssthresh:42242 notsent:3835752 minrtt:21.784
1650985518.523578, 	 reno wscale:8,9 rto:604 rtt:403.893/18.158 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:646 bytes_sent:1862128 bytes_retrans:2896 bytes_acked:925273 segs_out:1289 segs_in:231 data_segs_out:1286 send 18.5Mbps lastsnd:8 lastrcv:860 lastack:8 pacing_rate 37.1Mbps delivery_rate 8.9Mbps delivered:640 busy:856ms unacked:645 retrans:0/2 reordering:6 reord_seen:2 rcv_space:14480 rcv_ssthresh:42242 notsent:3792312 minrtt:21.784
1650985518.546547, 	 reno wscale:8,9 rto:620 rtt:416.015/16.553 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:664 bytes_sent:1914256 bytes_retrans:2896 bytes_acked:951337 segs_out:1325 segs_in:237 data_segs_out:1322 send 18.5Mbps lastsnd:4 lastrcv:880 lastack:4 pacing_rate 37.0Mbps delivery_rate 8.9Mbps delivered:658 busy:876ms unacked:663 retrans:0/2 reordering:6 reord_seen:2 rcv_space:14480 rcv_ssthresh:42242 notsent:3740184 minrtt:21.784
1650985518.568172, 	 reno wscale:8,9 rto:632 rtt:429.515/15.549 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:685 bytes_sent:1975072 bytes_retrans:2896 bytes_acked:981745 segs_out:1367 segs_in:244 data_segs_out:1364 send 18.5Mbps lastrcv:904 pacing_rate 36.9Mbps delivery_rate 8.9Mbps delivered:679 busy:900ms unacked:684 retrans:0/2 reordering:6 reord_seen:2 rcv_space:14480 rcv_ssthresh:42242 notsent:3679368 minrtt:21.784
1650985518.592055, 	 reno wscale:8,9 rto:640 rtt:439.24/15.359 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:700 bytes_sent:2018512 bytes_retrans:2896 bytes_acked:1003465 segs_out:1397 segs_in:249 data_segs_out:1394 send 18.5Mbps lastsnd:4 lastrcv:924 lastack:4 pacing_rate 36.9Mbps delivery_rate 9.0Mbps delivered:694 busy:920ms unacked:699 retrans:0/2 reordering:6 reord_seen:2 rcv_space:14480 rcv_ssthresh:42242 notsent:3635928 minrtt:21.784
1650985518.610083, 	 reno wscale:8,9 rto:652 rtt:448.216/14.86 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:715 bytes_sent:2061952 bytes_retrans:2896 bytes_acked:1025185 segs_out:1427 segs_in:254 data_segs_out:1424 send 18.5Mbps lastrcv:940 pacing_rate 37.0Mbps delivery_rate 8.9Mbps delivered:709 busy:936ms unacked:714 retrans:0/2 reordering:6 reord_seen:2 rcv_space:14480 rcv_ssthresh:42242 notsent:3592488 minrtt:21.784
1650985518.626535, 	 reno wscale:8,9 rto:660 rtt:457.192/14.126 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:730 bytes_sent:2105392 bytes_retrans:2896 bytes_acked:1046905 segs_out:1457 segs_in:259 data_segs_out:1454 send 18.5Mbps lastrcv:956 pacing_rate 37.0Mbps delivery_rate 9.0Mbps delivered:724 busy:952ms unacked:729 retrans:0/2 reordering:6 reord_seen:2 rcv_space:14480 rcv_ssthresh:42242 notsent:3549048 minrtt:21.784
1650985518.643859, 	 reno wscale:8,9 rto:664 rtt:463.528/12.911 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:742 bytes_sent:2140144 bytes_retrans:2896 bytes_acked:1064281 segs_out:1481 segs_in:263 data_segs_out:1478 send 18.5Mbps lastrcv:972 pacing_rate 37.1Mbps delivery_rate 9.1Mbps delivered:736 busy:968ms unacked:741 retrans:0/2 reordering:6 reord_seen:2 rcv_space:14480 rcv_ssthresh:42242 notsent:3514296 minrtt:21.784
1650985518.660381, 	 reno wscale:8,9 rto:676 rtt:472.184/13.589 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:757 bytes_sent:2183584 bytes_retrans:2896 bytes_acked:1086001 segs_out:1511 segs_in:268 data_segs_out:1508 send 18.6Mbps lastrcv:992 pacing_rate 37.1Mbps delivery_rate 9.0Mbps delivered:751 busy:988ms unacked:756 retrans:0/2 reordering:6 reord_seen:2 rcv_space:14480 rcv_ssthresh:42242 notsent:3470856 minrtt:21.784
1650985518.678964, 	 reno wscale:8,9 rto:684 rtt:481.479/14.63 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:772 bytes_sent:2227024 bytes_retrans:2896 bytes_acked:1107721 segs_out:1541 segs_in:273 data_segs_out:1538 send 18.6Mbps lastsnd:4 lastrcv:1012 lastack:4 pacing_rate 37.1Mbps delivery_rate 9.0Mbps delivered:766 busy:1008ms unacked:771 retrans:0/2 reordering:6 reord_seen:2 rcv_space:14480 rcv_ssthresh:42242 notsent:3427416 minrtt:21.784
1650985518.698154, 	 reno wscale:8,9 rto:692 rtt:491.153/15.209 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:787 bytes_sent:2270464 bytes_retrans:2896 bytes_acked:1129441 segs_out:1571 segs_in:278 data_segs_out:1568 send 18.6Mbps lastrcv:1028 pacing_rate 37.1Mbps delivery_rate 9.1Mbps delivered:781 busy:1024ms unacked:786 retrans:0/2 reordering:6 reord_seen:2 rcv_space:14480 rcv_ssthresh:42242 notsent:3383976 minrtt:21.784
1650985518.718734, 	 reno wscale:8,9 rto:712 rtt:510.274/21.879 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:796 bytes_sent:2332728 bytes_retrans:2896 bytes_acked:1159849 segs_out:1614 segs_in:285 data_segs_out:1611 send 18.1Mbps lastrcv:1068 lastack:4 pacing_rate 37.1Mbps delivery_rate 8.9Mbps delivered:802 busy:1064ms unacked:808 retrans:0/2 reordering:6 reord_seen:2 rcv_space:14480 rcv_ssthresh:42242 notsent:5406832 minrtt:21.784
